year,gold value,America GDP,America RGDP,China GDP,China RGDP,world GDP
1960,35.0,583846000000.0,3259.97075,59716467625.3148,469332.78125,9309174962238.25
1961,35.0,604324000000.0,3343.54675,50056868957.6732,384023.71875,9567980055834.67
1962,35.0,647422000000.0,3548.4085000000005,47209359005.6057,409927.96875,10263630576400.1
1963,35.0,683726000000.0,3702.94325,50706799902.5104,469667.34375,11054614446399.9
1964,35.0,735285000000.0,3916.2794999999996,59708343488.5043,535845.125,12138175052737.6
1965,35.0,798330000000.0,4170.749749999999,70436266146.7219,595951.8125,13253161621755.9
1966,35.0,876223000000.0,4445.853,76720285969.6157,617316.1875,15554787627731.3
1967,35.0,927524000000.0,4567.78075,72881631326.6715,621121.9375,16509043750798.3
1968,39.83939790575916,1014480000000.0,4792.31475,70846535055.6503,606633.0625,17807775013594.1
1969,41.09978346456693,1099210000000.0,4942.067,79705906247.4612,669341.4375,19698723756154.4
1970,35.963529411764725,1161390000000.0,4951.2615,92602973434.0726,761009.875,21841658382418.7
1971,40.795476190476194,1264330000000.0,5114.3245,99800958648.1436,809537.4375,24097754331380.8
1972,58.17387795275591,1392430000000.0,5383.28175,113687586299.051,821394.5625,27772510717423.2
1973,97.11736363636362,1556970000000.0,5687.206749999999,138544284708.957,887638.1875,34208431460581.1
1974,158.7635826771654,1705960000000.0,5656.465,144182133387.722,909850.375,39941958665906.3
1975,160.8659448818898,1859080000000.0,5644.843000000001,163431551779.761,972077.3125,44568988716978.7
1976,124.80176470588235,2080370000000.0,5948.995,153940455341.50598,940559.1875,48246141520170.0
1977,147.8381944444445,2293890000000.0,6224.086499999999,174938098826.569,993460.0625,54495081454220.6
1978,193.57400793650794,2570710000000.0,6568.60825,149540752829.268,1109988.75,63687337350252.6
1979,307.00869565217386,2870920000000.0,6776.580000000001,178280594413.043,1198477.375,74476718069553.9
1980,614.7525590551182,3131770000000.0,6759.18075,191149211575.0,1260049.875,84553729219741.6
1981,459.16334661354585,3514000000000.0,6930.710249999999,195866382432.54,1297345.625,87762068332214.9
1982,376.1084325396825,3658080000000.0,6805.758,205089699858.779,1416680.875,86578548825774.4
1983,423.7073412698412,3975480000000.0,7117.72875,230686747153.257,1516561.0,87072315191649.2
1984,360.65466269841284,4393970000000.0,7632.812250000001,259946510957.143,1686463.125,89470657837894.3
1985,317.42450592885376,4704770000000.0,7951.074,309488028132.653,1832115.5,93884480134049.3
1986,368.19802371541493,4958240000000.0,8226.391500000002,300758100107.24603,1952496.5,109946010577630.0
1987,446.83675889328055,5287830000000.0,8510.990000000002,272972974764.57397,2116132.25,124462087084350.0
1988,436.7843873517788,5745210000000.0,8866.498749999999,312353631207.819,2233035.75,140919169077300.0
1989,381.26785714285734,6208140000000.0,9192.134000000002,347768051311.741,2250415.25,146621607664326.0
1990,383.73260869565223,6558670000000.0,9365.494,360857912565.966,2253246.25,167093585319688.0
1991,362.3411067193675,6770090000000.0,9355.35475,383373318083.62396,2361051.5,176639121791052.0
1992,343.86870078740145,7114390000000.0,9684.89175,426915712711.146,2555190.0,186556793462165.0
1993,360.0474308300395,7437550000000.0,9951.5025,444731282436.762,2837220.75,189733353387448.0
1994,384.1593253968254,7867240000000.0,10352.43175,564324670005.917,3086822.75,203533171252067.0
1995,384.07063492063486,8245810000000.0,10630.3205,734547898220.5079,3383916.5,227169219034335.0
1996,387.7348425196852,8704360000000.0,11031.349750000001,863746717503.7891,3650861.0,233978358868872.0
1997,330.99683794466415,9233310000000.0,11521.93825,961603952951.82,3816497.75,233678669091852.0
1998,294.1223320158102,9697760000000.0,12038.283,1029043097554.08,3902438.75,233170315543202.0
1999,278.8626984126983,10310100000000.0,12610.491250000001,1093997267271.06,4131790.75,239399816735792.0
2000,279.2896825396827,10998100000000.0,13130.986499999999,1211346869605.24,4438237.0,247236709649288.0
2001,271.19011857707505,11321900000000.0,13262.079249999999,1339395718865.3,4785864.5,246754507757758.0
2002,310.07599206349204,11698300000000.0,13493.0645,1470550015081.55,5234130.0,256398186657958.0
2003,363.8316205533598,12354800000000.0,13879.128500000003,1660287965662.68,5649978.5,289502711009408.0
2004,409.5322834645669,13241400000000.0,14406.3825,1955347004963.27,6210127.0,328970745857933.0
2005,444.98789682539683,14210900000000.0,14912.508749999999,2285965892360.54,6922742.5,360450940475480.0
2006,604.3378968253966,15136200000000.0,15338.25675,2752131773355.16,7763827.5,395888675407456.94
2007,696.4312252964429,15923600000000.0,15626.029499999999,3550342737010.84,8632246.0,453694199529527.06
2008,872.3722440944882,16269000000000.0,15604.6875,4594307032660.79,9284108.0,506495309080966.0
2009,973.6581027667984,15826700000000.0,15208.83425,5101703073086.04,10119193.0,480910247253899.06
2010,1226.664624505929,16612200000000.0,15598.753499999999,6087163874512.21,11434200.0,533716810520200.94
2011,1573.1599601593628,17337500000000.0,15840.664250000002,7551500124203.36,12348047.0,599307164088400.0
2012,1668.857142857143,18032100000000.0,16197.0075,8532229986993.65,13037841.0,616130398616739.0
2013,1409.505928853755,18638500000000.0,16495.3695,9570406235659.64,13956690.0,638600308582839.0
2014,1266.0626482213438,19337100000000.0,16912.03775,10475682920594.5,14840266.0,657437182041070.0
2015,1159.8211462450597,19787500000000.0,17432.17,11061553079876.4,15410061.0,619066319562009.0
2016,1249.8440711462456,20250100000000.0,17730.5085,11233276536737.2,16013156.0,626582483600713.0
2017,1257.7930278884457,21176400000000.0,18144.10475,12310409370892.8,16705464.0,671253187704165.0
2018,1268.9288537549405,22303600000000.0,18687.786,13894817549374.2,17381442.0,714574854349637.0
2019,1393.341666666667,23177100000000.0,19091.662249999998,14342903006431.3,18025052.0,722760835678384.0
