DATE,RGDPNACNA666NRUG
1952-01-01,395917.09375
1953-01-01,447646.5
1954-01-01,415012.96875
1955-01-01,452760.71875
1956-01-01,491528.3125
1957-01-01,506717.4375
1958-01-01,509729.0625
1959-01-01,495122.4375
1960-01-01,469332.78125
1961-01-01,384023.71875
1962-01-01,409927.96875
1963-01-01,469667.34375
1964-01-01,535845.125
1965-01-01,595951.8125
1966-01-01,617316.1875
1967-01-01,621121.9375
1968-01-01,606633.0625
1969-01-01,669341.4375
1970-01-01,761009.875
1971-01-01,809537.4375
1972-01-01,821394.5625
1973-01-01,887638.1875
1974-01-01,909850.375
1975-01-01,972077.3125
1976-01-01,940559.1875
1977-01-01,993460.0625
1978-01-01,1109988.75
1979-01-01,1198477.375
1980-01-01,1260049.875
1981-01-01,1297345.625
1982-01-01,1416680.875
1983-01-01,1516561.0
1984-01-01,1686463.125
1985-01-01,1832115.5
1986-01-01,1952496.5
1987-01-01,2116132.25
1988-01-01,2233035.75
1989-01-01,2250415.25
1990-01-01,2253246.25
1991-01-01,2361051.5
1992-01-01,2555190.0
1993-01-01,2837220.75
1994-01-01,3086822.75
1995-01-01,3383916.5
1996-01-01,3650861.0
1997-01-01,3816497.75
1998-01-01,3902438.75
1999-01-01,4131790.75
2000-01-01,4438237.0
2001-01-01,4785864.5
2002-01-01,5234130.0
2003-01-01,5649978.5
2004-01-01,6210127.0
2005-01-01,6922742.5
2006-01-01,7763827.5
2007-01-01,8632246.0
2008-01-01,9284108.0
2009-01-01,10119193.0
2010-01-01,11434200.0
2011-01-01,12348047.0
2012-01-01,13037841.0
2013-01-01,13956690.0
2014-01-01,14840266.0
2015-01-01,15410061.0
2016-01-01,16013156.0
2017-01-01,16705464.0
2018-01-01,17381442.0
2019-01-01,18025052.0
